"k","samples","mean_candidates","mean_negative_candidates","neg_share_candidates","mean_topk_size","mean_negative_topk","neg_share_topk","any_negative_in_topk_rate"
1,3000,13.535,1.413,0.104396010343554,1,0.064,0.064,0.064
3,3000,13.447,1.39333333333333,0.1036166679061,3,0.184,0.0613333333333333,0.153333333333333
5,3000,13.5636666666667,1.364,0.100562778009879,5,0.254,0.0508,0.191333333333333
10,3000,13.614,1.35966666666667,0.099872680084227,9.549,0.588333333333333,0.0616120361643453,0.366666666666667
20,3000,13.6233333333333,1.43933333333333,0.105652067531196,13.175,1.30566666666667,0.0991018342820999,0.603
30,3000,13.5436666666667,1.36466666666667,0.100760503064163,13.5343333333333,1.36166666666667,0.100608329433786,0.606333333333333
50,3000,13.494,1.42566666666667,0.105651894669236,13.494,1.42566666666667,0.105651894669236,0.611
